id,name,description,location,website
1,TechCorp Solutions,Leading Cloud & Enterprise Software Services provider.,Bangalore,https://techcorp.example.com
2,Nexus Systems,High-frequency trading and fintech software architecture.,Hyderabad,https://nexussystems.example.com
3,DataDynamics Labs,AI & Big Data analytics platform development.,Pune,https://datadynamics.example.com
4,CyberPulse Security,"Cybersecurity, threat detection & network safety.",Gurgaon,https://cyberpulse.example.com
5,InnoSoft Digital,"Product engineering, UI/UX and mobile application studio.",Mumbai,https://innosoft.example.com
6,CloudMatrix Systems,"DevOps, infrastructure and cloud native engineering.",Noida,https://cloudmatrix.example.com
7,FinEdge Analytics,Quantitative finance & banking automation algorithms.,Bangalore,https://finedge.example.com
8,Vortex Technologies,"Embedded systems, IoT & hardware interface software.",Chennai,https://vortextech.example.com
9,Zenith AI Labs,"Generative AI, NLP & computer vision research & products.",Bangalore,https://zenithai.example.com
10,GlobalLogic Services,Global IT consulting and digital transformation.,Hyderabad,https://globallogic.example.com
